Unnamed: 0,URL,DOI,Mechanism,Subject,Predicate,Object,DOI_Cleaned,PMID
0,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Direct_infection_of_neural_cells,SARS-CoV-2,infects,neural_cells,10.1186/s13062-020-00282-3,33246479
1,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Direct_infection_of_neural_cells,ACE2,mediates,SARS-CoV-2_entry_into_neural_cells,10.1186/s13062-020-00282-3,33246479
2,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Blood-brain-barrier_destruction,SARS-CoV-2,infects,epithelial_cells,10.1186/s13062-020-00282-3,33246479
3,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Blood-brain-barrier_destruction,Epithelial_cell_infection,induces,immune_infiltration_to_brain,10.1186/s13062-020-00282-3,33246479
4,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,affects,blood-brain-barrier,10.1186/s13062-020-00282-3,33246479
5,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,causes,dysfunctional_myeloid_cells,10.1186/s13062-020-00282-3,33246479
6,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,leads_to,lymphopenia,10.1186/s13062-020-00282-3,33246479
7,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Systemic_Inflammation,Systemic_inflammation,causes,cytokine_storm,10.1186/s13062-020-00282-3,33246479
8,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Thrombosis,SARS-CoV-2,causes,epithelium_damage,10.1186/s13062-020-00282-3,33246479
9,https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs13062-020-00282-3/MediaObjects/13062_2020_282_Fig1_HTML.png,10.1186/s13062-020-00282-3,Thrombosis,Epithelium_damage,causes,thrombo-inflammation,10.1186/s13062-020-00282-3,33246479
