URL;Pathophysiological Process;Subject;Predicate;Object;Source
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Hypoxia_Ischemia_and_Neurodegeneration;SARS-CoV-2_infection;causes;hypoxia;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Hypoxia_Ischemia_and_Neurodegeneration;Hypoxia;leads_to;ischemia;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Hypoxia_Ischemia_and_Neurodegeneration;Ischemia;results_in;neurodegeneration;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Microglia_and_Astrocyte_Activation;SARS-CoV-2_infection;triggers;microglia_activation;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Microglia_and_Astrocyte_Activation;Microglia_activation;causes;astrocyte_activation;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Microglia_and_Astrocyte_Activation;Cytotoxic_T_lymphocyte_infiltration;leads_to;neurocognitive_deficits;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Olfactory_System_Impact;SARS-CoV-2_infection;affects;olfactory_sensory_neuron;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Olfactory_System_Impact;Olfactory_sensory_neuron;involves;anosmia;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Olfactory_System_Impact;Olfactory_ectomesenchymal_stem_cells;are_affected_by;SARS-CoV-2_infection;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Gut_Dysbiosis;SARS-CoV-2_infection;causes;gut_dysbiosis;LLM
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Gut_Dysbiosis;Gut_dysbiosis;affects;dopamine_decarboxylase;LLM
