Image_number,URL,GitHub_URL,Pathophysiological Process,Subject,Predicate,Object
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Neurological_Conditions_Increase,COVID_infection,increases,neurological_conditions
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Cognitive_Deficit_Risk,Long_COVID,increases_risk_of,cognitive_deficit
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Dementia_Risk,Long_COVID,increases_risk_of,dementia
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Psychotic_Disorders_Risk,Long_COVID,increases_risk_of,psychotic_disorders
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Epilepsy_Seizures_Risk,Long_COVID,increases_risk_of,epilepsy_or_seizures
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,induces,pro-inflammatory_cytokines
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,produces,autoantibodies
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,causes,leukocytes_infiltration
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Blood-brain_Barrier_Leakage,SARS-CoV-2_infection,leads_to,haemorrhage
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Blood-brain_Barrier_Leakage,SARS-CoV-2_infection,causes,pro-inflammatory_cytokines_release
