Image_number,URL,GitHub_URL,Pathophysiological Process,Subject,Predicate,Object
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Macrophage/Microglial_Dysregulation_&_Proinflammatory_Cytokine_Release,SARS-CoV-2_infection,activates,TREM2/DAP12
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Macrophage/Microglial_Dysregulation_&_Proinflammatory_Cytokine_Release,TREM2/DAP12,causes,elevated_inflammation
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Membrane_&_Lipid_Dysregulation,SARS-CoV-2_infection,alters,lipid_raft_microdomain
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Mitochondrial_Dysregulation,SARS-CoV-2_infection,affects,MAVS_in_COVID
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Mitochondrial_Dysregulation,Mitochondrial_dysregulation,involves,VDAC1
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Mitochondrial_Dysregulation,VDAC1,regulates,cell_cycle
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Endoplasmic_Reticular_Dysfunction,SARS-CoV-2_infection,induces,ER_stress
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Endoplasmic_Reticular_Dysfunction,ER_stress,leads_to,ER-phagy
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,induces,pro-inflammatory_cytokines
image_10,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_10.jpg,Production_of_Effector_Molecules,SARS-CoV-2_infection,triggers,autoantibodies
