Image_number,URL,GitHub_URL,Pathophysiological Process,Subject,Predicate,Object
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Neurological_Conditions_Increase,COVID_infection,increases,neurological_conditions
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Cognitive_Deficit_Risk,Long_COVID,increases,cognitive_deficit_risk
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Dementia_Risk,Long_COVID,increases,dementia_risk
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Psychotic_Disorders_Risk,Long_COVID,increases,psychotic_disorders_risk
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_4.jpg,Epilepsy_Seizures_Risk,Long_COVID,increases,epilepsy_seizures_risk
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Macrophage/Microglial_Dysregulation,SARS-CoV-2,causes,macrophage/microglial_dysregulation
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Macrophage/Microglial_Dysregulation,Macrophage/microglial_dysregulation,leads_to,proinflammatory_cytokine_release
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Macrophage/Microglial_Dysregulation,Proinflammatory_cytokine_release,increases,elevated_inflammation
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Membrane_&_Lipid_Dysregulation,SARS-CoV-2,causes,membrane_&_lipid_dysregulation
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,https://raw.githubusercontent.com/Elly0w0/image-based-information-extraction-LLM-main/main/data/CBM_data/images_CBM/image_6.jpg,Membrane_&_Lipid_Dysregulation,Membrane_&_lipid_dysregulation,affects,lipid_raft_microdomain
